"This leaderboard is the average results of 40 runs done between 1,433 competitors. (After many handshake, kingmaker, minion, and random.seed manipulators had been removed.)",,,,,,,,,,,,,,
"More improvements: For these runs, the order in which the 1v1s were conducted was also randomized, just in case there were any lingering effects between game-to-game (there shouldn't be, but I just wanted to be safe)",,,,,,,,,,,,,,
THIS LEADERBOARD IS NOT FINALIZED!,,,,,,,,,,,,,,
ID,Rank,Author,Strategy name,Passed sanity check? (no crash),Trial count,Average of (SCORE*100),95% margin of error of (SCORE*100),Stdev of (SCORE*100),% turns cooperated (equal weight to each game regardless of game length),% coop rate stdev across diff opponents,Days after announcement submitted,Non-empty lines of code,"Runtime against 9 defaults (in ms) (~2,250 runs)",A/B branch
userStrats.s1566,#41,Stephen Mwangi,Absolution3679.py,TRUE,40,284.575,±0.077,43.23,89.999,24.534,7.73453,27,135.257,3
userStrats.s713,#42,Xirzag,titForTroll.py,TRUE,40,284.556,±0.092,54.475,86.595,30.951,4.15499,29,90.464,1
userStrats.s728,#43,Toron Beldevar,Toron_strat.py,TRUE,40,284.54,±0.104,40.811,91.635,20.394,4.30836,10,91.047,1
userStrats.s413,#44,almostsams,slightlyForgivingTitForTat.py,TRUE,40,284.536,±0.064,41.106,92.017,19.625,1.6992,13,90.251,3
userStrats.s1450,#45,"Drip, or just Lucas",HEARTBREAKER.py,TRUE,40,284.498,±0.113,53.561,86.53,30.296,7.00176,135,111.116,2
userStrats.s1411,#46,DorkKnight,SuperCoop.py,TRUE,40,284.498,±0.065,41.066,91.827,20.629,6.97987,88,135.769,2
userStrats.s616,#47,GerbilM,acyclic titForTat 3.py,TRUE,40,284.488,±0.073,41.666,90.889,22.626,3.3386,30,97.293,1
userStrats.s167,#48,Justin Auger,elephantsNeverForget.py,TRUE,40,284.449,±0.099,54.873,86.556,31.109,0.43454,23,89.973,0
userStrats.s1575,#49,someone12469; submitting again because my first submission still wasn't removed and it's almost 1am here (the old submission was using someone12469@gmail.com),ftf.py,TRUE,40,284.431,±0.068,43.459,89.64,25.219,7.85146,73,242.351,2
userStrats.s1602,#50,someone12469,ftf.py,TRUE,40,284.428,±0.089,43.456,89.639,25.221,8.49453,73,227.221,2
userStrats.s825,#51,franco,franco4.py,TRUE,40,284.384,±0.070,40.984,90.316,23.007,5.06184,43,93.788,3
userStrats.s1158,#52,SSirus,Sirius.py,TRUE,40,284.382,±0.092,48.45,88.376,27.057,6.48551,64,101.852,3
userStrats.s1333,#53,Reuben,theDailyTat.py,TRUE,40,284.382,±0.060,41.694,91.351,21.45,6.89428,31,135.057,3
userStrats.s975,#54,CrazyCraftix,superAwesomeStrategy.py,TRUE,40,284.378,±0.076,41.806,89.745,23.755,5.89971,18,104.317,3
userStrats.s1003,#55,Ben Wilop and Joshua Sieben,unanim.py,TRUE,40,284.36,±0.094,56.307,86.519,31.208,5.96699,70,126.092,2
userStrats.s816,#56,Shefeto,niceDetective.py,TRUE,40,284.321,±0.085,56.775,88.578,29.15,5.02801,139,100.698,3
userStrats.s1037,#57,Cool_Zeb,forgivingPunisher.py,TRUE,40,284.284,±0.107,41.563,91.855,19.668,6.07888,45,98.104,2
userStrats.s26,#58,Pat,titForTat.py,TRUE,40,284.278,±0.069,41.392,90.286,23.159,0.04674,5,86.362,1
userStrats.s1511,#59,Pacoyo,If this program gets in the top 100 i will literally drink water.py,TRUE,40,284.267,±0.058,41.693,91.603,21.04,7.02691,9,90.907,2
userStrats.s53,#60,Alligator Joe,tftButAWESOME.py,TRUE,40,284.257,±0.074,41.45,90.282,23.181,0.0992,7,92.785,3
userStrats.s1513,#61,Quantum,quantumCopycatNetwork.py,TRUE,40,284.234,±0.059,41.485,90.271,23.195,7.02973,71,122.838,3
userStrats.s1160,#62,GladiatorTurtlez,You activated my trap card.py,TRUE,40,284.233,±0.053,41.515,90.278,23.198,6.50469,20,95.498,3
userStrats.s1275,#63,AxBaEn,titForTatForCharity.py,TRUE,40,284.233,±0.081,41.529,90.27,23.21,6.81802,6,100.353,0
userStrats.s384,#64,"Online name: Smile.  I don't know why google forms added my real name next to the uploaded file name, please edit the file name if possible :(",smileTitForTat.py,TRUE,40,284.231,±0.070,41.485,90.269,23.198,1.37222,7,87.208,3
userStrats.s1571,#65,VpgMackan,mycode.py,TRUE,40,284.225,±0.065,41.5,90.267,23.199,7.76782,5,99.193,-1
userStrats.s121,#66,Spud,karma.py,TRUE,40,284.224,±0.056,41.479,90.259,23.196,0.21286,17,86.696,2
exampleStrats.titForTat,#67,None,titForTat,TRUE,40,284.221,±0.062,41.477,90.26,23.193,0,5,0,-1
userStrats.s848,#68,xHyperElectric,MyStrat.py,TRUE,40,284.22,±0.071,41.52,90.267,23.197,5.25132,6,90.183,3
userStrats.s983,#69,Xik,MELOL.py,TRUE,40,284.218,±0.071,41.471,90.257,23.198,5.92126,26,250.614,3
userStrats.s192,#70,Kartarva,titForTatForCharity.py,TRUE,40,284.218,±0.069,41.521,90.261,23.213,0.518,5,90.115,0
userStrats.s1352,#71,D'Angelo,DangelosSuperCoolStrategy.py,TRUE,40,284.215,±0.060,41.487,90.253,23.204,6.92572,21,104.189,0
userStrats.s1211,#72,flat blanket,just_playing_my_part.py,TRUE,40,284.215,±0.075,41.466,90.257,23.192,6.67913,5,99.092,1
userStrats.s1353,#73,Ferfun,bibichu_v3.py,TRUE,40,284.214,±0.072,41.475,90.257,23.193,6.92757,81,3157.877,2
userStrats.s30,#74,Taka,reigningchampion.py,TRUE,40,284.212,±0.075,41.536,90.257,23.219,0.05926,5,94.265,3
userStrats.s42,#75,frib,titForTat2.py,TRUE,40,284.211,±0.059,41.5,90.256,23.204,0.08256,16,94.304,-1
userStrats.s184,#76,HarrisL2 (Harris),titForTatForCharityOriginal.py,TRUE,40,284.211,±0.078,41.59,90.264,23.23,0.50186,20,83.14,2
userStrats.s461,#77,Boogin,GoblinSmasher.py,TRUE,40,284.211,±0.061,41.469,90.251,23.194,1.92116,5,86.937,2
userStrats.s309,#78,Viktor,titForTatForCharity.py,TRUE,40,284.207,±0.065,41.493,90.256,23.199,0.90874,5,90.857,3
userStrats.s617,#79,Woodmouth,titForTat clone nr 38426.py,TRUE,40,284.205,±0.068,41.524,90.252,23.216,3.41404,9,86.699,0
userStrats.s16,#80,DoublespoonCo,TitForTut.py,TRUE,40,284.205,±0.083,41.512,90.256,23.204,0.03068,5,85.591,3
userStrats.s773,#81,The Boi,beanboiii.py,TRUE,40,284.2,±0.076,41.526,90.247,23.217,4.78601,14,102.066,1
userStrats.s927,#82,CoderJosh,trustBuildingTats.py,TRUE,40,284.2,±0.076,41.539,90.253,23.223,5.77241,35,95.516,2
userStrats.s641,#83,Tantusar,catchup.py,TRUE,40,284.199,±0.092,41.459,90.248,23.188,3.63448,9,108.231,2
userStrats.s1117,#84,MartinPlusPlus,foolMeOnceFoolMeTenTimes.py,TRUE,40,284.196,±0.056,41.567,90.25,23.229,6.35046,14,92.048,0
userStrats.s1340,#85,lauti-silber,astor_v4.py,TRUE,40,284.195,±0.059,41.568,90.256,23.223,6.91056,117,4104.191,2
userStrats.s98,#86,jamster02,oliveTitForTat.py,TRUE,40,284.195,±0.072,41.552,90.25,23.217,0.18186,8,89.147,3
userStrats.s1092,#87,Delaney,literallyJustTitForTat.py,TRUE,40,284.194,±0.062,41.576,90.252,23.228,6.25277,12,95.731,0
userStrats.s201,#88,Sillen,titForTatForCharity.py,TRUE,40,284.193,±0.064,41.6,90.251,23.244,0.57953,5,93.062,1
userStrats.s246,#89,aryan02420,copyCat.py,TRUE,40,284.192,±0.060,41.536,90.246,23.219,0.7094,9,88.335,3
userStrats.s1489,#90,Tammon,just_in_case.py,TRUE,40,284.192,±0.072,41.564,90.247,23.225,7.01721,5,94.657,3
userStrats.s536,#91,ooga,titForTat.py,TRUE,40,284.192,±0.076,41.525,90.244,23.218,2.58318,5,95.168,3
userStrats.s233,#92,Xam,newStrategy.py,TRUE,40,284.19,±0.079,41.558,90.249,23.224,0.66153,71,98.521,0
userStrats.s900,#93,Louis Gan,Louis Bogget Khode.py,TRUE,40,284.189,±0.075,41.583,90.255,23.229,5.67417,32,93.259,2
userStrats.s1469,#94,TK,super_clever_detective.py,TRUE,40,284.189,±0.065,56.293,88.324,29.163,7.01063,109,96.807,2
userStrats.s612,#95,octo is fine!,resentfult4t.py,TRUE,40,284.189,±0.065,41.557,90.249,23.223,3.25416,13,89.256,3
userStrats.s1523,#96,Roman,titForTat.py,TRUE,40,284.188,±0.064,41.554,90.248,23.226,7.0772,5,87.681,1
userStrats.s189,#97,JammerAlert,TitforTatJam.py,TRUE,40,284.187,±0.072,41.552,90.248,23.228,0.5152,5,90.509,2
userStrats.s1342,#98,fearlessTobi,titForTat_cooperateFirst.py,TRUE,40,284.185,±0.078,41.588,90.249,23.236,6.91133,9,100.693,1
userStrats.s564,#99,Roie,pht.py,TRUE,40,284.185,±0.063,41.556,90.247,23.221,2.80041,25,96.731,0
userStrats.s1285,#100,Jon,mathematicallybest.py,TRUE,40,284.184,±0.081,41.549,90.244,23.223,6.83278,6,106.223,0
userStrats.s362,#101,noel (no-el),Beneficial cooperation.py,TRUE,40,284.183,±0.069,41.558,90.246,23.224,1.20985,17,89.05,0
userStrats.s483,#102,juan,raymondReddington.py,TRUE,40,284.182,±0.064,41.514,90.235,23.214,2.03986,20,94.682,2
userStrats.s663,#103,marcin,myStrategy.py,TRUE,40,284.182,±0.062,41.564,90.242,23.229,3.81164,39,99.382,2
userStrats.s623,#104,Jallaba,patternDetective.py,TRUE,40,284.181,±0.065,41.557,90.249,23.219,3.48609,56,458.256,3
userStrats.s153,#105,Schpudt / I think I just messed up lol lemme rejoin,grimVariant.py,TRUE,40,284.179,±0.067,41.534,90.231,23.222,0.36759,17,102.243,2
userStrats.s1403,#106,Speakers,bigMoney.py,TRUE,40,284.177,±0.081,41.594,90.247,23.231,6.97554,29,100.399,1
userStrats.s1373,#107,Tourtle,defMyStrategy.py,TRUE,40,284.177,±0.077,41.562,90.244,23.225,6.94078,6,103.631,2
userStrats.s1404,#108,square,square_15_mercy_jossfix2_rd.py,TRUE,40,284.176,±0.111,58.754,85.734,32.344,6.97575,62,111.527,3
userStrats.s757,#109,john,titForTat.py,TRUE,40,284.175,±0.062,41.579,90.242,23.233,4.66192,6,90.527,2
userStrats.s1526,#110,moses,modifiedTFT.py,TRUE,40,284.175,±0.056,41.631,90.249,23.248,7.09494,8,90.943,0
userStrats.s614,#111,Gaming with Charlie (Because that's my YouTube channel name),Charlie_Strat.py,TRUE,40,284.173,±0.070,41.541,90.236,23.213,3.291,44,90.962,1
userStrats.s935,#112,akriegman,primeForgivenessTitForTat.py,TRUE,40,284.173,±0.066,42.095,91.838,20.409,5.80575,11,107.231,1
userStrats.s254,#113,Lucibus,tatfortit.py,TRUE,40,284.17,±0.075,41.548,90.236,23.224,0.73889,29,149.842,2
userStrats.s1104,#114,CyberPixel,twilightSporkle.py,TRUE,40,284.169,±0.071,41.607,90.239,23.245,6.29792,18,96.91,1
userStrats.s431,#115,Mitch,stopWinningOrIWill.py,TRUE,40,284.169,±0.073,41.613,90.246,23.236,1.76052,23,96.679,3
userStrats.s1363,#116,Jim,msu.py,TRUE,40,284.167,±0.079,41.616,90.235,23.257,6.93587,6,88.211,-1
userStrats.s709,#117,Endozen,totallyNotTitForTat.py,TRUE,40,284.167,±0.067,41.569,90.237,23.232,4.14565,8,93.076,0
userStrats.s46,#118,Wasser17,evilTitForTat.py,TRUE,40,284.166,±0.082,41.591,90.231,23.244,0.08394,7,88.128,1
userStrats.s236,#119,f3rn0s,dumbythickstrat.py,TRUE,40,284.165,±0.066,41.606,90.238,23.243,0.66586,12,107.119,1
userStrats.s643,#120,Oreztov,orezStrat.py,TRUE,40,284.165,±0.072,41.597,90.243,23.233,3.65153,10,92.192,0
userStrats.s627,#121,Adam,RecursiveNeuralNetwork.py,TRUE,40,284.163,±0.059,41.632,90.244,23.246,3.53368,24,133.248,-1
userStrats.s379,#122,Brady,bradyStrat.py,TRUE,40,284.162,±0.071,41.63,90.241,23.248,1.33178,28,89.377,2
userStrats.s237,#123,Prétauhi,The law of Talion.py,TRUE,40,284.161,±0.060,41.595,90.232,23.245,0.66902,16,110.228,3
userStrats.s432,#124,Euler,bestStrat.py,TRUE,40,284.157,±0.065,41.598,90.232,23.241,1.7726,14,91.666,1
userStrats.s181,#125,Rainlicker,titForTatForCharitycool13100.py,TRUE,40,284.156,±0.083,41.631,90.23,23.262,0.49509,5,92.329,2
userStrats.s1301,#126,Physi (Fizzy),titfortat_startwithdefect.py,TRUE,40,284.155,±0.060,41.581,90.231,23.232,6.85731,7,97.696,3
userStrats.s296,#127,Dkay7,titForTatForCharity.py,TRUE,40,284.154,±0.062,41.624,90.229,23.258,0.87448,5,105.473,1
userStrats.s647,#128,Yeicor,titForTat.py,TRUE,40,284.154,±0.085,41.631,90.227,23.263,3.69444,6,98.981,1
userStrats.s293,#129,Jonas,johnnyJohnson.py,TRUE,40,284.152,±0.082,41.669,90.235,23.267,0.86603,19,108.686,3
userStrats.s860,#130,nullcomputer,!                                                                                         !!!!!!!(superdupergreatlycrapstratagyalgorithmforcarykhhimselfthatiwilllose).py,TRUE,40,284.15,±0.081,41.588,90.227,23.245,5.35395,5,91.062,3
userStrats.s548,#131,Jack Carreira,titForTat.py,TRUE,40,284.15,±0.067,41.621,90.226,23.257,2.71491,5,96.12,2
userStrats.s735,#132,UnicodeTreason,EqualOpponentCOOP.py,TRUE,40,284.148,±0.075,41.548,90.218,23.231,4.44127,11,99.43,2
userStrats.s1380,#133,direk,simpletonsTitForTat.py,TRUE,40,284.148,±0.063,41.631,90.226,23.258,6.94813,25,93.781,3
userStrats.s490,#134,Ritit,bettertit.py,TRUE,40,284.148,±0.069,41.648,90.229,23.26,2.08466,8,90.091,1
userStrats.s1591,#135,Kai,titForTat.py,TRUE,40,284.147,±0.065,41.649,90.221,23.266,8.01604,5,93.801,2
userStrats.s311,#136,Diriector_Doc,doc'sStrategy.py,TRUE,40,284.143,±0.056,41.663,90.225,23.272,0.91139,24,95.093,1
userStrats.s1154,#137,DoubleThought,tftWithForgiveness.py,TRUE,40,284.14,±0.113,41.624,91.893,19.75,6.48156,10,87.055,3
userStrats.s1565,#138,yasirroni,nprttStudent-halflife.py,TRUE,40,284.138,±0.097,55.381,86.982,30.612,7.71255,297,178.402,3
userStrats.s179,#139,Fastwind,conform.py,TRUE,40,284.138,±0.070,41.623,90.224,23.247,0.49168,13,105.005,2
userStrats.s230,#140,Cosimo,titForTatForCharity_Cosimonta.py,TRUE,40,284.135,±0.075,41.652,90.222,23.262,0.65508,5,103.9,3
userStrats.s1185,#141,ChaoticNeutralCzech,CNC_T4T.py,TRUE,40,284.135,±0.062,41.647,90.217,23.27,6.61898,12,97.586,1
userStrats.s994,#142,Hensage,ForgiveAndForget.py,TRUE,40,284.135,±0.068,41.688,90.224,23.278,5.94505,9,95.417,3
userStrats.s99,#143,"Joe Z. (or Joe Zeng, whichever you prefer)",delayedDetective..py,TRUE,40,284.134,±0.092,41.675,90.225,23.271,0.18208,50,88.64,2
userStrats.s906,#144,donno2048,main157.py,TRUE,40,284.129,±0.061,41.22,90.219,23.09,5.69689,11,105.441,1
userStrats.s423,#145,Zhivko,titfortata++1.py,TRUE,40,284.129,±0.068,41.197,90.217,23.079,1.74228,8,92.818,3
userStrats.s186,#146,hamben,titForTatForCharity.py,TRUE,40,284.127,±0.065,41.646,90.216,23.266,0.50398,5,104.249,0
userStrats.s1128,#147,Arjun Yadav,elephant.py,TRUE,40,284.124,±0.079,41.698,90.225,23.28,6.39839,19,97.936,3
userStrats.s1606,#148,TheSacredRatty,novatft.py,TRUE,40,284.123,±0.101,58.194,85.796,32.859,8.91983,46,98.978,1
userStrats.s73,#149,adrien,titForTatFailsafe.py,TRUE,40,284.122,±0.078,42.112,91.126,22.317,0.1461,15,91.981,1
userStrats.s820,#150,Lamaun,NoisyTitForTat.py,TRUE,40,284.122,±0.069,41.685,90.22,23.273,5.04243,19,87.952,2
userStrats.s168,#151,Charles,titForTatForCharityCharles.py,TRUE,40,284.114,±0.072,41.268,90.217,23.1,0.44404,6,92.441,3
userStrats.s988,#152,​,pr.py,TRUE,40,284.113,±0.076,41.243,90.208,23.097,5.93304,10,118.049,3
userStrats.s1165,#153,Szab,sebsstrat.py,TRUE,40,284.11,±0.057,41.265,90.209,23.103,6.52039,10,168.945,3
userStrats.s549,#154,allesman,1delayedTitForTat.py,TRUE,40,284.11,±0.052,41.241,90.212,23.094,2.71625,8,90.793,3
userStrats.s173,#155,ArchaDust,titForTat.py,TRUE,40,284.105,±0.061,41.248,90.202,23.105,0.4667,5,92.498,0
userStrats.s176,#156,Autissima,titForTatForCharity.py,TRUE,40,284.1,±0.076,41.292,90.211,23.111,0.47435,5,97.394,2
userStrats.s1317,#157,lmkawakami,bonzinho.py,TRUE,40,284.098,±0.069,41.63,90.238,23.249,6.87757,19,94.969,2
userStrats.s174,#158,Brotcrunsher,BrotStrats.py,TRUE,40,284.088,±0.057,41.31,90.196,23.119,0.46682,32,91.936,0
userStrats.s516,#159,8Eight,a vote of confidence.py,TRUE,40,284.086,±0.110,41.732,91.862,19.807,2.43189,10,102.08,1
userStrats.s1508,#160,CactusToaster,bad_player.py,TRUE,40,284.078,±0.066,41.749,90.196,23.307,7.02058,15,93.264,-1
userStrats.s1300,#161,Vladimir,mya.py,TRUE,40,284.075,±0.055,41.4,91.101,21.599,6.85516,149,101.915,2
userStrats.s838,#162,Harry,CouncilOfFates.py,TRUE,40,284.071,±0.069,41.993,90.307,23.301,5.17241,136,161.447,3
userStrats.s88,#163,ptaszor3 or birdo3,treatcherousBirdo.py,TRUE,40,284.063,±0.116,41.8,91.871,19.81,0.16823,9,89.786,2
userStrats.s55,#164,Gacrucis,reverse_joss.py,TRUE,40,284.057,±0.101,41.711,91.858,19.785,0.10218,11,86.88,1
userStrats.s619,#165,tea,t8j.py,TRUE,40,284.053,±0.091,41.799,91.86,19.801,3.43839,8,101.472,0
userStrats.s478,#166,baptmont,maybeTitForTat.py,TRUE,40,284.053,±0.098,41.696,91.859,19.78,2.02127,8,94.196,1
userStrats.s218,#167,"Stranded Deity, or just Stranded if you want",GTAT.py,TRUE,40,284.042,±0.119,41.789,91.858,19.803,0.62119,18,106.62,3
userStrats.s1509,#168,Jor,reverse joss.py,TRUE,40,284.039,±0.093,41.837,91.858,19.822,7.02169,11,93.796,0
userStrats.s656,#169,Fallli,fallli.py,TRUE,40,284.032,±0.116,45.531,83.724,22.548,3.75292,51,93.352,-1
userStrats.s297,#170,cttet,cary.py,TRUE,40,284.026,±0.108,41.841,91.844,19.84,0.87535,6,105.216,1
userStrats.s1307,#171,Dr. Dan,coolcats2.py,TRUE,40,284.025,±0.143,41.704,91.844,19.786,6.86854,6,90.317,0
userStrats.s1559,#172,mc163,ANPRTT.py,TRUE,40,284.011,±0.066,41.41,90.663,22.795,7.55052,47,153.714,1
userStrats.s38,#173,wad67,tit4tit.py,TRUE,40,283.99,±0.101,41.921,91.837,19.854,0.0797,18,93.187,2
userStrats.s1107,#174,amaturecoder,"TFTresponddefectrandom(0p5,25).py",TRUE,40,283.971,±0.071,42.563,89.592,24.778,6.30815,29,210.819,3
userStrats.s149,#175,manawan,titForTatZ.py,TRUE,40,283.965,±0.104,41.908,91.815,19.85,0.31796,9,92.462,0
userStrats.s580,#176,quojova,quojova3final.py,TRUE,40,283.95,±0.095,57.99,85.846,32.643,2.88978,47,92.675,1
userStrats.s1556,#177,Jor,short_term_memory_loss.py,TRUE,40,283.944,±0.088,41.984,91.816,19.869,7.45929,12,93.363,0
userStrats.s1357,#178,minato13,perdoador.py,TRUE,40,283.931,±0.072,41.875,90.562,22.89,6.93117,16,97.53,2
userStrats.s1496,#179,Beerfazz,Beerfazz.py,TRUE,40,283.898,±0.070,41.803,90.028,23.361,7.01931,6,91.08,2
userStrats.s593,#180,sspustan,Trust levels.py,TRUE,40,283.876,±0.075,42.186,92.129,18.975,2.97329,29,97.329,3
userStrats.s511,#181,JackToaster,MassiveConglomerate.py,TRUE,40,283.862,±0.064,42.399,90.05,23.702,2.37031,837,2618.612,3
userStrats.s1182,#182,Yannick,doofus.py,TRUE,40,283.826,±0.094,58.736,84.85,32.71,6.60458,14,485.629,0
userStrats.s1093,#183,Chris,titTatTie.py,TRUE,40,283.815,±0.066,47.19,90.391,24.866,6.25605,81,212.225,2
userStrats.s1510,#184,Jorge,jorge.py,TRUE,40,283.791,±0.092,42.315,91.595,20.614,7.0263,18,101.515,0
userStrats.s31,#185,trangium,reversejoss116.py,TRUE,40,283.791,±0.085,42.248,91.983,19.47,0.06192,7,92.267,0
userStrats.s1071,#186,Zilto,titForTail.py,TRUE,40,283.766,±0.083,42.199,90.474,22.772,6.18221,23,94.701,1
userStrats.s1497,#187,Dustin,Combo.py,TRUE,40,283.752,±0.086,41.742,89.529,23.25,7.01931,44,99.442,0
userStrats.s1457,#188,Junbun,tittatsecondchance2.py,TRUE,40,283.714,±0.044,42.332,90.367,23.198,7.00674,28,90.482,1
userStrats.s1030,#189,trk20,smarterDogs.py,TRUE,40,283.691,±0.107,45.768,91.087,22.183,6.05773,94,95.151,1
userStrats.s1546,#190,BlueSheep,bluesheep.py,TRUE,40,283.662,±0.074,41.486,91.471,21.422,7.20771,27,141.146,3
userStrats.s675,#191,Joseph,simplyPredict.py,TRUE,40,283.643,±0.096,47.37,87.501,28.797,3.90006,30,95.726,2
